ID,Face_Morph,Face_Set,Face_Set_Type,Resoponse_Type,Frequency
46,1,1,2,4,3
46,2,1,2,1,4
46,2,1,2,2,3
46,2,1,2,3,1
46,2,1,3,4,1
46,1,2,3,1,2
46,1,2,3,2,3
46,1,2,3,3,3
46,1,2,4,4,2
46,2,2,4,1,3
46,2,2,4,2,5
46,2,2,4,3,2
47,1,1,1,1,2
47,1,1,1,2,3
47,1,1,1,3,3
47,2,2,1,4,2
47,1,1,2,4,2
47,2,1,2,1,4
47,2,1,2,2,2
47,2,1,2,3,1
47,2,1,3,4,3
47,1,2,3,1,2
47,1,2,3,2,3
47,1,2,3,3,3
47,1,2,4,4,2
47,2,2,4,1,3
47,2,2,4,2,3
47,2,2,4,3,2
48,1,1,1,1,2
48,1,1,1,2,5
48,1,1,1,3,2
48,2,2,1,4,1
48,1,1,2,4,0
48,2,1,2,1,4
48,2,1,2,2,3
48,2,1,2,3,2
48,2,1,3,4,2
48,1,2,3,1,2
48,1,2,3,2,4
48,1,2,3,3,4
48,1,2,4,4,1
48,2,2,4,1,1
48,2,2,4,2,4
48,2,2,4,3,3
49,1,1,1,1,3
49,1,1,1,2,3
49,1,1,1,3,2
49,2,2,1,4,3
49,1,1,2,4,2
49,2,1,2,1,2
49,2,1,2,2,0
49,2,1,2,3,3
49,2,1,3,4,5
49,1,2,3,1,1
49,1,2,3,2,3
49,1,2,3,3,5
49,1,2,4,4,2
49,2,2,4,1,4
49,2,2,4,2,2
49,2,2,4,3,0
50,1,1,1,1,5
50,1,1,1,2,6
50,1,1,1,3,1
50,2,2,1,4,2
50,1,1,2,4,0
50,2,1,2,1,2
50,2,1,2,2,3
50,2,1,2,3,2
50,2,1,3,4,1
50,1,2,3,1,4
50,1,2,3,2,3
50,1,2,3,3,1
50,1,2,4,4,2
50,2,2,4,1,3
50,2,2,4,2,3
50,2,2,4,3,2
51,1,1,1,1,3
51,1,1,1,2,5
51,1,1,1,3,3
51,2,2,1,4,1
51,1,1,2,4,0
51,2,1,2,1,1
51,2,1,2,2,4
51,2,1,2,3,3
51,2,1,3,4,1
51,1,2,3,1,2
51,1,2,3,2,2
51,1,2,3,3,3
51,1,2,4,4,3
51,2,2,4,1,2
51,2,2,4,2,4
51,2,2,4,3,3
52,1,1,1,1,3
52,1,1,1,2,4
52,1,1,1,3,2
52,2,2,1,4,2
52,1,1,2,4,1
52,2,1,2,1,4
52,2,1,2,2,1
52,2,1,2,3,1
52,2,1,3,4,4
52,1,2,3,1,2
52,1,2,3,2,2
52,1,2,3,3,3
52,1,2,4,4,3
52,2,2,4,1,4
52,2,2,4,2,3
52,2,2,4,3,1
53,2,2,4,4,4
53,1,1,1,1,4
53,1,1,1,2,3
53,1,1,1,3,1
53,1,1,2,4,2
53,2,1,2,1,2
53,2,1,2,2,4
53,2,1,2,3,3
53,2,1,3,4,1
53,1,2,3,1,3
53,1,2,3,2,3
53,1,2,3,3,1
53,1,2,4,4,2
53,2,2,4,1,3
53,2,2,4,2,1
53,2,2,4,3,3
