subjectNumber,Condition,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,Face_Data_Set,Morph_type,DOM_RATING,MEM,COM
521,2,19,16,172.5,85.7272727272727,24.8,180,70,39,2,1,2,4.2,.6,6.33
521,2,19,16,172.5,85.7272727272727,24.8,180,70,39,3,2,1,3.8,.9,4.89
521,2,19,16,172.5,85.7272727272727,24.8,180,70,39,4,2,2,4.6,.4,5.75
522,2,19,14,171.3,72.6818181818182,15.8,88.5,42.5,35,1,1,1,2.5,.6,8
522,2,19,14,171.3,72.6818181818182,15.8,88.5,42.5,35,2,1,2,3.3,.6,7.83
522,2,19,14,171.3,72.6818181818182,15.8,88.5,42.5,35,3,2,1,2.2,.7,4.43
522,2,19,14,171.3,72.6818181818182,15.8,88.5,42.5,35,4,2,2,2.6,.6,7.67
523,2,20,16,170.1,68.5454545454545,15,65,45,42,1,1,1,2.7,.4,5
523,2,20,16,170.1,68.5454545454545,15,65,45,42,2,1,2,4.4,.8,5.38
523,2,20,16,170.1,68.5454545454545,15,65,45,42,3,2,1,3.1,.7,5.86
523,2,20,16,170.1,68.5454545454545,15,65,45,42,4,2,2,3.2,.6,8.5
524,2,21,4,184.1,68,82,50,55,29,1,1,1,3.4,.5,5.2
524,2,21,4,184.1,68,82,50,55,29,2,1,2,4,.6,6.33
524,2,21,4,184.1,68,82,50,55,29,3,2,1,4.3,.7,8.43
524,2,21,4,184.1,68,82,50,55,29,4,2,2,4.6,.6,7.67
525,2,17,15,192.23,107.181818181818,21.25,122.5,82.5,35,1,1,1,3.9,.6,5.5
525,2,17,15,192.23,107.181818181818,21.25,122.5,82.5,35,2,1,2,4.5,.4,5.25
525,2,17,15,192.23,107.181818181818,21.25,122.5,82.5,35,3,2,1,4.2,.6,6.67
525,2,17,15,192.23,107.181818181818,21.25,122.5,82.5,35,4,2,2,4.3,.3,5
527,2,19,8,165,62.3636363636364,13.75,75,55,33,1,1,1,3.8,.7,4
527,2,19,8,165,62.3636363636364,13.75,75,55,33,2,1,2,3.7,.4,4.25
527,2,19,8,165,62.3636363636364,13.75,75,55,33,3,2,1,3.1,.6,4.5
527,2,19,8,165,62.3636363636364,13.75,75,55,33,4,2,2,3.5,.9,3.56
528,2,20,17,180.75,101.090909090909,21.3,67.5,55,38,1,1,1,2,.6,8
528,2,20,17,180.75,101.090909090909,21.3,67.5,55,38,2,1,2,2.3,.33,10
528,2,20,17,180.75,101.090909090909,21.3,67.5,55,38,3,2,1,2.6,.43,8
528,2,20,17,180.75,101.090909090909,21.3,67.5,55,38,4,2,2,2.4,.63,4.8
529,2,19,11,186.5,77.0227272727273,11.35,110,65,30,1,1,1,3.7,.5,9.2
529,2,19,11,186.5,77.0227272727273,11.35,110,65,30,2,1,2,4.7,.6,9
529,2,19,11,186.5,77.0227272727273,11.35,110,65,30,3,2,1,2.6,.8,7.5
529,2,19,11,186.5,77.0227272727273,11.35,110,65,30,4,2,2,4.1,.5,10
530,2,19,18,178,114.818181818182,33.1,92.5,75,34,1,1,1,3.1,.7,3.86
530,2,19,18,178,114.818181818182,33.1,92.5,75,34,2,1,2,4.3,.5,4.2
530,2,19,18,178,114.818181818182,33.1,92.5,75,34,3,2,1,3.1,.7,3.29
